Class,Precision,Recall,F1-Score,Support
Injection_normal,0.8754,0.8114,0.8422,684.0
MITM_normal,0.4622,0.7009,0.5570,331.0
normal_DDoS,0.9939,0.9844,0.9892,5141.0
normal_DoS,0.9072,0.8000,0.8502,110.0
normal_XSS,0.9892,0.9719,0.9805,2457.0
normal_backdoor,0.5818,0.2119,0.3107,151.0
normal_pcaps,0.6842,0.7143,0.6989,91.0
normal_runsomware,0.4482,0.7181,0.5519,259.0
normal_scanning,0.9971,0.9929,0.9950,5928.0
password_normal,0.9266,0.8793,0.9023,1077.0
accuracy,,,0.9514,
macro avg,0.7866,0.7785,0.7678,16229.0
weighted avg,0.9592,0.9514,0.9534,16229.0
